"code","name","roe","roic","equity_ratio","interest_bearing_debt_ratio","analyst_rating","current_price","price_as_of","target_price_gap","progress_rate","sales_growth_3y","sales_growth_5y","operating_growth_3y","operating_growth_5y","ordinary_growth_3y","ordinary_growth_5y","net_income_growth_3y","net_income_growth_5y","operating_margin_3y","operating_margin_5y","profit_streak_years","dividend_increase_years","黒字継続年数","forecast_loss","fetched_at","data_as_of","source_update_date","fetch_status","stale_flag","fetch_score_note"
"6508","明電舎","15.1","9","46.8","29.7","3.83","10850","08/07 15:30","-1.2","16.3","6.2","7.1","47","26.5","46.8","26.9","49.1","26.5","6.6","5.3","10","3","10","FALSE","2026-08-09 15:59:42","2026/03","","success","false",""
"6857","アドバンテスト","57.7","43.9","67.9","2.5","4.53","32190","08/07 15:30","15.9","26.3","26.3","29.3","43.8","47.8","44.5","49.3","42.3","40","30.1","29.5","10","6","10","FALSE","2026-08-09 15:59:47","2026/03 I","","success","false",""
"3687","フィックスターズ","26","24.2","83.6","0.6","","2240","08/07 15:30","","71.6","15.1","10.8","16.7","16.8","15.2","17","21.6","23.8","28.4","25.7","10","","10","FALSE","2026-08-09 15:59:54","2025/09","","success","false",""
"6503","三菱電機","9.7","7","60.9","8.1","4.5","5826","08/07 15:30","22.7","23.4","5.6","7.1","3.7","5.8","10.3","10","8.4","9.1","69.3","70.3","10","1","10","FALSE","2026-08-09 16:00:01","2026/03 I","","success","false",""
"3741","セック","15.4","12.8","82.9","0.4","","3080","08/07 15:30","","100","14.4","11.5","15.6","13.2","17.3","14.4","19.8","15.7","17.1","16.8","10","5","10","FALSE","2026-08-09 16:00:09","2026/03","","success","false",""
"5803","フジクラ","32.5","21.9","57.8","19.3","4.36","5185","08/07 15:30","33.2","24.6","13.6","12.9","39.1","50.5","43.2","61.1","56.6","","12.8","10.6","10","5","10","FALSE","2026-08-09 16:00:16","2026/03","","success","false",""
"4062","イビデン","12.3","4.7","57.3","35","4.75","19110","08/07 15:30","21.4","21.6","-0.1","5.2","-5","9.9","-7.2","8.4","6.9","19.9","13.5","15.1","10","1","10","FALSE","2026-08-09 16:00:21","2026/03","","success","false",""
"5801","古河電気工業","19.1","4.6","39.1","79.8","4.5","3856","08/07 15:30","64.1","21.6","7","10","60.5","49.9","56.9","71","59.4","48.6","3.3","2.5","10","2","10","FALSE","2026-08-09 16:00:28","2026/03","","success","false",""
"6324","ハーモニック・ドライブ・システムズ","2","1.9","72.2","22.5","4.43","7160","08/07 15:30","8.4","21","-62.2","-44.4","","","","","-32.4","-19","40.1","51.2","10","","10","FALSE","2026-08-09 16:00:35","2026/06 New","","success","false",""
"3915","テラスカイ","13.3","7.6","56.5","1.6","","2218","08/07 15:30","","23.2","22","20.3","45","14.9","41.5","17.2","65.5","-8.6","4.7","4.5","10","1","10","FALSE","2026-08-09 16:00:41","2026/02","","success","false",""
"7012","川崎重工業","13.7","6.7","26.4","95","4.5","2778.5","08/07 15:30","40.7","22.2","-70.8","-21.8","","","","","-47.2","-18.4","21.9","45.9","5","2","5","FALSE","2026-08-09 16:00:48","2026/06 I New","","success","false",""
"8316","三井住友フィナンシャルグループ","10.4","3.5","4.8","204.7","4.9","6782","08/07 15:30","17.4","","20.7","22.6","25.7","26.5","25.7","26.5","25.2","25.3","18","19.6","10","5","10","FALSE","2026-08-09 16:00:54","2026/03","","success","false",""
"7186","横浜フィナンシャルグループ","7.9","3.1","5.4","152.9","4.5","1839","08/07 15:30","10.2","23.7","41.1","28.5","-16.1","3.9","","","260.8","125.5","26.7","29.7","10","6","10","FALSE","2026-08-09 16:01:00","2026/06 New","","success","false",""
"6920","レーザーテック","33.9","30.3","73.3","","3.57","37460","08/07 15:30","32.1","107.9","14.7","26.8","19.1","32.2","19.2","32.5","18.8","32.1","44.2","41.9","10","","10","FALSE","2026-08-09 16:01:09","2026/06","","success","false",""
"8331","千葉銀行","7.8","2.8","5.9","138.6","4","2666","08/07 15:30","5","27.1","16.9","13.8","16.9","14.1","16.9","14.1","16","13.6","30","30.9","10","8","10","FALSE","2026-08-09 16:01:17","2026/03","","success","false",""
"1961","三機工業","20.8","14.6","55.3","7.7","5","2350","08/07 15:30","31.9","16.1","10.1","6","73","30.1","67.4","29","70.8","32","8.3","6.5","10","3","10","FALSE","2026-08-09 16:01:44","2026/03","","success","false",""
"1969","高砂熱学工業","19.2","12.9","55","21.3","4.6","4114","08/07 15:30","36.4","18.5","7.8","9","46","31.2","44.8","29.5","45.3","29.9","8.8","7.1","10","5","10","FALSE","2026-08-09 16:01:50","2026/03","","success","false",""
"6146","ディスコ","25.2","23.3","78.9","","4.4","58440","08/07 15:30","42.4","0","15.4","19","18.8","28.4","18.1","28.1","17.8","28.2","41.4","39.8","10","7","10","FALSE","2026-08-09 16:01:57","2026/03","","success","false",""
"7735","ＳＣＲＥＥＮホールディングス","20.3","17.8","67.4","1.3","3.79","13085","08/07 15:30","33.8","9.9","9.5","13.6","6.8","9.9","14.6","21.5","12.1","11.7","62.6","64.3","10","","10","FALSE","2026-08-09 16:02:04","2026/03","","success","false",""
"4004","レゾナック・ホールディングス","4.3","2","33.2","138.7","4.55","16395","08/07 15:30","32.9","46","-67.9","-45.4","","","","","-50.7","-33.4","16.7","8.1","2","","2","FALSE","2026-08-09 16:02:11","2026/06 I New","","success","false",""
"5706","三井金属","24.6","20.1","59.1","29.8","4.7","32220","08/07 15:30","74.1","23.5","5.2","7.7","118.6","20.7","90.2","21.7","120.5","15.3","10.9","8.8","10","2","10","FALSE","2026-08-09 16:02:18","2026/03","","success","false",""
"8035","東京エレクトロン","29.6","21.6","71.5","1.9","4.8","54500","08/07 15:30","49.6","","3.4","11.8","0.4","14.3","0.3","14.4","6.8","18.8","26.4","27.4","10","2","10","FALSE","2026-08-09 16:02:25","2026/03","","success","false",""
"6954","ファナック","9.3","6.7","89.2","0.4","3.92","6535","08/07 15:30","17.4","25.1","0.2","9.2","-1.3","10.3","-0.6","12.1","-0.8","12.1","19.7","21.3","10","2","10","FALSE","2026-08-09 16:02:31","2026/03","","success","false",""
"5802","住友電気工業","14.7","9.1","56.9","25.9","4.73","2129.5","08/07 15:30","77.2","22.4","8.5","11.9","33.1","29.7","35.5","30.5","48.6","45.7","6.7","5.6","10","3","10","FALSE","2026-08-09 16:02:38","2026/03","","success","false",""
"6871","日本マイクロニクス","20.9","16.4","66.7","9.9","5","13710","08/07 15:30","38.6","0","16.6","11.8","21.5","42.9","17.9","41.3","17","31.1","20","20.3","10","2","10","FALSE","2026-08-09 16:02:44","2025/12","","success","false",""
"6315","ＴＯＷＡ","7","5.1","66.4","25.7","4.2","2532","08/07 15:30","44.6","22.8","0.3","12.8","-11.7","13.8","-12","12.7","-14.5","11.5","15.5","17.6","10","","10","FALSE","2026-08-09 16:02:52","2026/03","","success","false",""
"6526","ソシオネクスト","6.5","6.9","79.4","1.2","3.33","1981","08/07 15:30","33.8","0","1.4","15","-17.1","51.4","-20.5","43","-23.8","42.8","11.8","10.8","6","","6","FALSE","2026-08-09 16:02:57","2026/03","","success","false",""
"2802","味の素","17.8","11.8","42.5","62.6","4.22","5196","08/07 15:30","13.2","","-62.5","-42","","","","","-39.3","-23","12.2","33.3","10","6","10","FALSE","2026-08-09 16:03:04","2026/06 I New","","success","false",""
"4063","信越化学工業","10.4","9.2","78.7","5.8","4.57","6116","08/07 15:30","31.9","25","-2.9","11.5","-14","10.1","-11.5","11.8","-12.5","10.1","27.6","30.2","10","","10","FALSE","2026-08-09 16:03:11","2026/03","","success","false",""
"7182","ゆうちょ銀行","5.8","2","4","30.6","4.22","3188","08/07 15:30","10.3","26.5","11.4","7.9","18.6","14","18.6","14","17.4","13.4","22.8","23.1","10","3","10","FALSE","2026-08-09 16:03:17","2026/03","","success","false",""
"6506","安川電機","7.7","5.6","59.5","25.8","4.43","5266","08/07 15:30","34.3","13.1","-0.8","6.8","-1.2","5.1","-0.1","10.4","5.2","10","64.3","64.6","10","","10","FALSE","2026-08-09 16:03:23","2026/02 I","","success","false",""
"6723","ルネサス　エレクトロニクス","-2.1","4.9","58.5","50.2","4.3","3757","08/07 15:30","26","0","-4.2","13","-22","25.3","","","","","19.5","21","10","","10","FALSE","2026-08-09 16:03:29","2025/12 I","","success","false",""
"7013","ＩＨＩ","28.4","12.7","26.9","75.1","4.25","2744.5","08/07 15:30","36.6","34.2","6.7","8.1","26.4","42.7","41.9","46.4","53.5","65.2","4.5","5.3","2","5","2","FALSE","2026-08-09 16:03:37","2026/03 I","","success","false",""
"6203","豊和工業","3.7","2.1","58.7","32.2","","1488","08/07 15:30","","35.7","6.8","5.1","37.9","16.4","30.5","8.5","12.2","-5.2","4","3.8","9","","9","FALSE","2026-08-09 16:03:44","2026/03","","success","false",""
"9984","ソフトバンクグループ","34.3","15.7","29","145.6","4.25","5552","08/07 15:30","51.5","0","5.9","6.7","","1.6","","1.6","","0.1","34.4","16.4","3","","3","FALSE","2026-08-09 16:03:53","2026/03 I","","success","false",""
"9502","中部電力","7.7","3","41","103.6","4.17","2708","08/07 15:30","12.5","14.7","-3.8","3.9","29","9.6","64.7","8.7","81.3","9.1","7.5","4.7","4","3","4","FALSE","2026-08-09 16:04:20","2026/03","","success","false",""
"3776","ブロードバンドタワー","3.5","4.8","45.7","27","","252","08/07 15:30","","57.6","2.7","-1","","9.1","19.7","11.4","","-2.6","3.2","1.5","2","1","2","FALSE","2026-08-09 16:04:25","2025/12","","success","false",""
"6963","ローム","-19.2","2","59.1","53.2","3.5","4571","08/07 15:30","22.7","31.2","-1.8","6","-51","-22.4","-44","-13.9","","","0.9","7.3","1","","1","FALSE","2026-08-09 16:04:32","2026/03","","success","false",""
"285A","キオクシアホールディングス","51.9","24.2","37.9","89.6","5","47730","08/07 15:30","151.4","0","22.2","","","","","","","","13.4","8.1","2","","2","FALSE","2026-08-09 16:04:40","2026/03 I","","success","false",""
"3436","ＳＵＭＣＯ","-2","-0.5","51.3","61.2","3.62","3470","08/07 15:30","12.4","","-2.4","7.1","-77","-48.7","","","","","8.9","13.4","10","","10","FALSE","2026-08-09 16:04:47","2025/12","","success","false",""
